batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
4,1,z,0.0,0.0,0.0
4,2,z,1.89,4.42,6.31
4,3,z,4.04,0.0,4.04
4,4,z,2.96,5.71,8.67
4,5,z,4.11,0.0,4.11
4,6,z,1.92,0.04,1.96
4,7,z,1.25,2.6,3.85
4,8,z,2.14,0.0,2.14
4,9,z,1.82,5.04,6.86
4,10,z,2.14,0.0,2.14
4,11,z,1.02,0.03,1.05
4,12,z,0.87,2.32,3.19
4,13,z,1.21,0.0,1.21
4,14,z,1.05,4.53,5.58
4,15,z,0.84,0.0,0.84
4,16,z,0.68,0.03,0.71
4,17,z,0.0,0.0,0.0
4,18,z,0.71,1.95,2.66
4,19,z,0.02,0.0,0.02
4,20,z,0.38,0.04,0.42
