batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
64,1,xy,0.0,0.0,0.0
64,2,xy,1.06,47.45,48.51
64,3,xy,3.45,0.0,3.45
64,4,xy,1.91,68.31,70.22
64,5,xy,4.17,0.0,4.17
64,6,xy,1.23,0.01,1.24
64,7,xy,0.75,6.87,7.62
64,8,xy,2.37,0.0,2.37
64,9,xy,0.99,16.31,17.3
64,10,xy,2.3,0.0,2.3
64,11,xy,0.64,0.0,0.64
64,12,xy,0.41,4.67,5.08
64,13,xy,1.12,0.0,1.12
64,14,xy,0.54,9.4,9.94
64,15,xy,0.83,0.0,0.83
64,16,xy,0.35,0.0,0.35
64,17,xy,0.0,0.0,0.0
64,18,xy,0.13,0.2,0.33
64,19,xy,0.02,0.0,0.02
64,20,xy,0.03,0.0,0.03
