batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
4,1,xy,0.0,0.0,0.0
4,2,xy,1.86,4.6,6.46
4,3,xy,4.02,0.0,4.02
4,4,xy,2.96,5.98,8.94
4,5,xy,4.1,0.0,4.1
4,6,xy,1.92,0.02,1.94
4,7,xy,1.25,4.66,5.91
4,8,xy,2.14,0.0,2.14
4,9,xy,1.81,8.8,10.61
4,10,xy,2.13,0.0,2.13
4,11,xy,1.02,0.02,1.04
4,12,xy,0.88,14.43,15.31
4,13,xy,1.21,0.0,1.21
4,14,xy,1.05,28.93,29.98
4,15,xy,0.84,0.0,0.84
4,16,xy,0.68,0.04,0.72
4,17,xy,0.0,0.0,0.0
4,18,xy,0.7,0.51,1.21
4,19,xy,0.02,0.0,0.02
4,20,xy,0.38,0.02,0.4
