batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
8,1,xyz,0.0,0.0,0.0
8,2,xyz,1.35,4.12,5.47
8,3,xyz,3.7,0.0,3.7
8,4,xyz,2.4,5.39,7.79
8,5,xyz,3.74,0.0,3.74
8,6,xyz,1.59,0.02,1.61
8,7,xyz,1.14,2.43,3.57
8,8,xyz,2.2,0.0,2.2
8,9,xyz,1.49,4.69,6.18
8,10,xyz,2.06,0.0,2.06
8,11,xyz,0.98,0.01,0.99
8,12,xyz,0.65,2.37,3.02
8,13,xyz,1.1,0.0,1.1
8,14,xyz,0.96,4.42,5.38
8,15,xyz,0.84,0.0,0.84
8,16,xyz,0.53,0.01,0.54
8,17,xyz,0.0,0.0,0.0
8,18,xyz,0.4,0.25,0.65
8,19,xyz,0.02,0.0,0.02
8,20,xyz,0.19,0.01,0.2
