batch_size,layer_nr,implem,cpu time [s],gpu time [s],total time [s]
32,1,xz,0.0,0.0,0.0
32,2,xz,1.04,35.63,36.67
32,3,xz,3.43,0.0,3.43
32,4,xz,1.97,48.33,50.3
32,5,xz,3.94,0.0,3.94
32,6,xz,1.27,0.02,1.29
32,7,xz,0.81,2.87,3.68
32,8,xz,2.51,0.0,2.51
32,9,xz,1.06,5.83,6.89
32,10,xz,2.1,0.0,2.1
32,11,xz,0.69,0.01,0.7
32,12,xz,0.49,1.9,2.39
32,13,xz,1.12,0.0,1.12
32,14,xz,0.62,3.86,4.48
32,15,xz,0.84,0.0,0.84
32,16,xz,0.4,0.01,0.41
32,17,xz,0.0,0.0,0.0
32,18,xz,0.16,0.16,0.32
32,19,xz,0.02,0.0,0.02
32,20,xz,0.05,0.0,0.05
